2024-11-02 12:28:53,889 INFO    Thread-200 (_run_job):38806 [wandb_init.py:_jupyter_teardown():462] cleaning up jupyter logic
2024-11-02 12:28:53,889 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_atexit_cleanup():2426] got exitcode: 0
2024-11-02 12:28:53,892 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_restore():2408] restore
2024-11-02 12:28:53,892 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_restore():2414] restore done
2024-11-02 12:28:57,973 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_footer_history_summary_info():3975] rendering history
2024-11-02 12:28:57,975 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_footer_history_summary_info():4007] rendering summary
2024-11-02 12:28:57,987 INFO    Thread-200 (_run_job):38806 [wandb_run.py:_footer_sync_info():3934] logging synced files
2024-11-02 12:29:00,869 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Configure stats pid to 38806
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Loading settings from /Users/abhinavraundhal/.config/wandb/settings
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Loading settings from /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4/wandb/settings
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'SMAI_ASG_4_MultilabelCNN', 'entity': 'abhinav7', 'root_dir': '/Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4', 'run_id': 'dwn1e1rz', 'sweep_param_path': '/Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4/wandb/sweep-7ffiridj/config-dwn1e1rz.yaml', 'sweep_id': '7ffiridj'}
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_init.py:_log_setup():534] Logging user logs to /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4/wandb/run-20241102_122900-dwn1e1rz/logs/debug.log
2024-11-02 12:29:00,870 INFO    Thread-203 (_run_job):38806 [wandb_init.py:_log_setup():535] Logging internal logs to /Users/abhinavraundhal/Documents/sem_5/SMAI/Assignments/All_Assignments/smai-m24-assignments-Abhinav7R/assignments/4/wandb/run-20241102_122900-dwn1e1rz/logs/debug-internal.log
