,summary,config,name
20,"{'_runtime': 1.672634, '_step': 64, '_timestamp': 1728640939.8200388, '_wandb.runtime': 1, 'epoch': 63, 'hamming_loss': 0.33125, 'train_accuracy': 0.669140625, 'train_f1_score': 0.17926356589147288, 'train_hamming_loss': 0.330859375, 'train_loss': 4.944706991775578, 'train_precision': 0.6026058631921825, 'train_recall': 0.10529311326124074, 'val_accuracy': 0.6546875, 'val_f1_score': 0.13671875, 'val_hamming_loss': 0.3453125, 'val_loss': 5.128272558409417, 'val_precision': 0.4605263157894737, 'val_recall': 0.08027522935779817}","{'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001}",l_r_0.001_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_100
21,"{'_runtime': 1.528658, '_step': 101, '_timestamp': 1728640949.586379, '_wandb.runtime': 1, 'epoch': 100, 'hamming_loss': 0.332421875, 'train_accuracy': 0.667578125, 'train_f1_score': 0.1809432146294514, 'train_hamming_loss': 0.332421875, 'train_loss': 4.951866165766413, 'train_precision': 0.5856697819314641, 'train_recall': 0.10700056915196357, 'val_accuracy': 0.6546875, 'val_f1_score': 0.13333333333333333, 'val_hamming_loss': 0.3453125, 'val_loss': 5.156718379597463, 'val_precision': 0.4594594594594595, 'val_recall': 0.0779816513761468}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001}",l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
22,"{'_runtime': 1.554854, '_step': 43, '_timestamp': 1728640964.858764, '_wandb.runtime': 1, 'epoch': 42, 'hamming_loss': 0.334375, 'train_accuracy': 0.6658203125, 'train_f1_score': 0.1345472938796156, 'train_hamming_loss': 0.3341796875, 'train_loss': 5.013914024615959, 'train_precision': 0.6045454545454545, 'train_recall': 0.07569721115537849, 'val_accuracy': 0.65390625, 'val_f1_score': 0.07515657620041753, 'val_hamming_loss': 0.34609375, 'val_loss': 5.158898533075389, 'val_precision': 0.4186046511627907, 'val_recall': 0.04128440366972477}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001}",l_r_0.001_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
23,"{'_runtime': 1.725464, '_step': 88, '_timestamp': 1728640972.26833, '_wandb.runtime': 1, 'epoch': 87, 'hamming_loss': 0.3359375, 'train_accuracy': 0.6646484375, 'train_f1_score': 0.1172236503856041, 'train_hamming_loss': 0.3353515625, 'train_loss': 4.977352596437051, 'train_precision': 0.6063829787234043, 'train_recall': 0.06488332384746727, 'val_accuracy': 0.659375, 'val_f1_score': 0.12096774193548387, 'val_hamming_loss': 0.340625, 'val_loss': 5.137992821925729, 'val_precision': 0.5, 'val_recall': 0.06880733944954129}","{'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'sgd', 'no_of_epochs': 200}",l_r_0.001_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_200
24,"{'_runtime': 0.612971, '_step': 15, '_timestamp': 1728640986.668776, '_wandb.runtime': 0, 'epoch': 14, 'hamming_loss': 0.3376953125, 'train_accuracy': 0.6619140625, 'train_f1_score': 0.10264385692068428, 'train_hamming_loss': 0.3380859375, 'train_loss': 5.064920121563185, 'train_precision': 0.5755813953488372, 'train_recall': 0.056346044393853156, 'val_accuracy': 0.653125, 'val_f1_score': 0.04721030042918455, 'val_hamming_loss': 0.346875, 'val_loss': 5.201062442617429, 'val_precision': 0.36666666666666664, 'val_recall': 0.02522935779816514}","{'l_r': 0.001, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu'}","l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
25,"{'_runtime': 2.081101, '_step': 63, '_timestamp': 1728640993.1836329, '_wandb.runtime': 2, 'epoch': 62, 'hamming_loss': 0.3296875, 'train_accuracy': 0.6712890625, 'train_f1_score': 0.17297297297297298, 'train_hamming_loss': 0.3287109375, 'train_loss': 4.974636612954289, 'train_precision': 0.6330935251798561, 'train_recall': 0.10017074558907228, 'val_accuracy': 0.65703125, 'val_f1_score': 0.1306930693069307, 'val_hamming_loss': 0.34296875, 'val_loss': 5.0862412998629924, 'val_precision': 0.4782608695652174, 'val_recall': 0.07568807339449542}","{'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100}","l_r_0.001_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
26,"{'_runtime': 1.520873, '_step': 33, '_timestamp': 1728641004.377405, '_wandb.runtime': 1, 'epoch': 32, 'hamming_loss': 0.333203125, 'train_accuracy': 0.6669921875, 'train_f1_score': 0.17989417989417988, 'train_hamming_loss': 0.3330078125, 'train_loss': 4.9513986307632525, 'train_precision': 0.5807453416149069, 'train_recall': 0.1064314171883893, 'val_accuracy': 0.65703125, 'val_f1_score': 0.15414258188824664, 'val_hamming_loss': 0.34296875, 'val_loss': 5.122402205667001, 'val_precision': 0.4819277108433735, 'val_recall': 0.09174311926605505}","{'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001}","l_r_0.001_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_100"
27,"{'_runtime': 0.604141, '_step': 12, '_timestamp': 1728641014.607071, '_wandb.runtime': 0, 'epoch': 11, 'hamming_loss': 0.3380859375, 'train_accuracy': 0.662109375, 'train_f1_score': 0.08562367864693445, 'train_hamming_loss': 0.337890625, 'train_loss': 5.070384668192803, 'train_precision': 0.6, 'train_recall': 0.04610130904951622, 'val_accuracy': 0.65625, 'val_f1_score': 0.06382978723404256, 'val_hamming_loss': 0.34375, 'val_loss': 5.172061805836708, 'val_precision': 0.4411764705882353, 'val_recall': 0.034403669724770644}","{'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'mini_batch_gradient_descent'}","l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
28,"{'_runtime': 1.722102, '_step': 29, '_timestamp': 1728641029.871569, '_wandb.runtime': 1, 'epoch': 28, 'hamming_loss': 0.3390625, 'train_accuracy': 0.662109375, 'train_f1_score': 0.08562367864693445, 'train_hamming_loss': 0.337890625, 'train_loss': 5.03369181428648, 'train_precision': 0.6, 'train_recall': 0.04610130904951622, 'val_accuracy': 0.66015625, 'val_f1_score': 0.05639913232104122, 'val_hamming_loss': 0.33984375, 'val_loss': 5.131234332576849, 'val_precision': 0.52, 'val_recall': 0.02981651376146789}","{'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'batch_gradient_descent'}","l_r_0.001_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
29,"{'_runtime': 1.452181, '_step': 42, '_timestamp': 1728641036.808046, '_wandb.runtime': 1, 'epoch': 41, 'hamming_loss': 0.3279296875, 'train_accuracy': 0.672265625, 'train_f1_score': 0.1766437684003925, 'train_hamming_loss': 0.327734375, 'train_loss': 4.935430899802297, 'train_precision': 0.6405693950177936, 'train_recall': 0.10244735344336937, 'val_accuracy': 0.66015625, 'val_f1_score': 0.13518886679920478, 'val_hamming_loss': 0.33984375, 'val_loss': 5.185935307994152, 'val_precision': 0.5074626865671642, 'val_recall': 0.0779816513761468}","{'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'sgd'}","l_r_0.001_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_200"
