,summary,config,name
20,"{'_runtime': 2.247508, '_step': 100, '_timestamp': 1728598538.5964758, '_wandb.runtime': 2, 'epoch': 99, 'train_accuracy': 0.5896032831737346, 'train_f1_score': 0.2759335822999068, 'train_loss': 0.16272260339146885, 'train_precision': 0.3207991343862419, 'train_recall': 0.2420776673947251, 'val_accuracy': 0.5136612021857924, 'val_f1_score': 0.2722004934861353, 'val_loss': 0.17579512209571807, 'val_precision': 0.26255665902724723, 'val_recall': 0.28257978723404253}","{'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001}",l_r_0.001_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_100
21,"{'_runtime': 1.763515, '_step': 146, '_timestamp': 1728598548.405944, '_wandb.runtime': 1, 'epoch': 145, 'train_accuracy': 0.5909712722298222, 'train_f1_score': 0.2798420599660785, 'train_loss': 0.15465875266090398, 'train_precision': 0.2847227864900734, 'train_recall': 0.2751258445086388, 'val_accuracy': 0.5901639344262295, 'val_f1_score': 0.3488643846894031, 'val_loss': 0.16896718876366906, 'val_precision': 0.3349687704080778, 'val_recall': 0.3639627659574468}","{'l_r': 0.001, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu'}",l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
22,"{'_runtime': 1.658864, '_step': 34, '_timestamp': 1728598558.961497, '_wandb.runtime': 1, 'epoch': 33, 'train_accuracy': 0.4856361149110807, 'train_f1_score': 0.15876037457944223, 'train_loss': 0.20430241570067212, 'train_precision': 0.14133015792727477, 'train_recall': 0.18109474936784176, 'val_accuracy': 0.3825136612021858, 'val_f1_score': 0.19285189461530391, 'val_loss': 0.18804490444370392, 'val_precision': 0.1600551724137931, 'val_recall': 0.24255319148936172}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001}",l_r_0.001_act_relu_opt_batch_gradient_descent_hl_1_neurons_[8]_epochs_200
23,"{'_runtime': 5.294271, '_step': 187, '_timestamp': 1728598574.504929, '_wandb.runtime': 5, 'epoch': 186, 'train_accuracy': 0.5868673050615595, 'train_f1_score': 0.27960586193694154, 'train_loss': 0.15560885342413625, 'train_precision': 0.28562550310785323, 'train_recall': 0.27383471507863816, 'val_accuracy': 0.5628415300546448, 'val_f1_score': 0.32156455003893253, 'val_loss': 0.1700831963581744, 'val_precision': 0.3150773781658559, 'val_recall': 0.3283244680851064}","{'neurons_per_layer': [8], 'activation_function': 'relu', 'l_r': 0.001, 'optimizer': 'sgd', 'no_of_epochs': 200}",l_r_0.001_act_relu_opt_sgd_hl_1_neurons_[8]_epochs_200
24,"{'_runtime': 1.731841, '_step': 100, '_timestamp': 1728598580.7366998, '_wandb.runtime': 1, 'epoch': 99, 'train_accuracy': 0.6169630642954856, 'train_f1_score': 0.2933669772641027, 'train_loss': 0.15310248778841434, 'train_precision': 0.2961916034125723, 'train_recall': 0.29059571619812585, 'val_accuracy': 0.6120218579234973, 'val_f1_score': 0.3717117375005373, 'val_loss': 0.16778633852100286, 'val_precision': 0.3524358974358974, 'val_recall': 0.393218085106383}","{'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001}","l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
25,"{'_runtime': 1.511056, '_step': 24, '_timestamp': 1728598591.19252, '_wandb.runtime': 1, 'epoch': 23, 'train_accuracy': 0.5362517099863201, 'train_f1_score': 0.18719693916121782, 'train_loss': 0.2195937164217265, 'train_precision': 0.17097749028063638, 'train_recall': 0.2068161535029005, 'val_accuracy': 0.4426229508196721, 'val_f1_score': 0.2536733005435733, 'val_loss': 0.19951608636531457, 'val_precision': 0.24624017957351288, 'val_recall': 0.2615691489361702}","{'l_r': 0.001, 'optimizer': 'batch_gradient_descent', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu'}","l_r_0.001_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_100"
26,"{'_runtime': 2.333663, '_step': 69, '_timestamp': 1728598603.652282, '_wandb.runtime': 2, 'epoch': 68, 'train_accuracy': 0.615595075239398, 'train_f1_score': 0.29642130470276923, 'train_loss': 0.15465670477068394, 'train_precision': 0.30081615833594727, 'train_recall': 0.2921530175282025, 'val_accuracy': 0.5683060109289617, 'val_f1_score': 0.3360099270261558, 'val_loss': 0.1707777629001486, 'val_precision': 0.323892599154968, 'val_recall': 0.34906914893617025}","{'optimizer': 'sgd', 'no_of_epochs': 100, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001}","l_r_0.001_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_100"
27,"{'_runtime': 1.561076, '_step': 200, '_timestamp': 1728598613.0361311, '_wandb.runtime': 1, 'epoch': 199, 'train_accuracy': 0.6196990424076607, 'train_f1_score': 0.29347649164133566, 'train_loss': 0.14878466684941422, 'train_precision': 0.2958360385292769, 'train_recall': 0.2911542857590205, 'val_accuracy': 0.5573770491803278, 'val_f1_score': 0.3318978011919505, 'val_loss': 0.17055386515243054, 'val_precision': 0.31633662592196826, 'val_recall': 0.34906914893617025}","{'l_r': 0.001, 'optimizer': 'mini_batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu'}","l_r_0.001_act_relu_opt_mini_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
28,"{'_runtime': 0.491946, '_step': 16, '_timestamp': 1728598623.699716, '_wandb.runtime': 0, 'epoch': 15, 'train_accuracy': 0.3693570451436389, 'train_f1_score': 0.0899100899100899, 'train_loss': 0.26551485909960265, 'train_precision': 0.061559507523939815, 'train_recall': 0.16666666666666666, 'val_accuracy': 0.5136612021857924, 'val_f1_score': 0.13574007220216605, 'val_loss': 0.23645280447382064, 'val_precision': 0.10273224043715848, 'val_recall': 0.2}","{'optimizer': 'batch_gradient_descent', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001}","l_r_0.001_act_relu_opt_batch_gradient_descent_hl_2_neurons_[16, 10]_epochs_200"
29,"{'_runtime': 5.17471, '_step': 200, '_timestamp': 1728598639.139421, '_wandb.runtime': 5, 'epoch': 199, 'train_accuracy': 0.612859097127223, 'train_f1_score': 0.28947002339472744, 'train_loss': 0.15161552978200182, 'train_precision': 0.29385150524856407, 'train_recall': 0.28521728238490024, 'val_accuracy': 0.5628415300546448, 'val_f1_score': 0.3293085992576686, 'val_loss': 0.1670069673555012, 'val_precision': 0.31854549825700207, 'val_recall': 0.34082446808510636}","{'optimizer': 'sgd', 'no_of_epochs': 200, 'neurons_per_layer': [16, 10], 'activation_function': 'relu', 'l_r': 0.001}","l_r_0.001_act_relu_opt_sgd_hl_2_neurons_[16, 10]_epochs_200"
