|  l_r   | activation_function |          optimizer          | neurons_per_layer | epochs |       mse_val        |       mae_val       |       rmse_val      |         r2_val         |      mse_train       |      mae_train      |      rmse_train     |        r2_train       |
| 0.0001 |       sigmoid       |             sgd             |        [8]        |   27   | 0.04597105140890775  |  0.1509590364317894 |  0.2144086085233234 |   0.0608879222741977   | 0.038448215468058614 | 0.14350033374486088 | 0.19608216509427528 |  -0.03485589071461326 |
| 0.0001 |       sigmoid       | mini_batch_gradient_descent |        [8]        |  265   | 0.03209654759860164  | 0.12241385568012514 |  0.1791550936998489 |   0.3443209459136437   | 0.030425120508396904 |  0.119654794978799  | 0.17442798086430086 |  0.18109033669004385  |
| 0.0001 |       sigmoid       |    batch_gradient_descent   |        [8]        |  399   |  0.3061906789756609  |  0.5104055467515584 |  0.5533449909194632 |   -5.254966025366767   | 0.41297721408164745  |  0.6097673823796581 |  0.6426330322055095 |  -10.115519862770949  |
| 0.0001 |       sigmoid       |             sgd             |        [8]        |   29   | 0.05386714464966702  |  0.1600739564523604 |  0.2320929655324931 |  -0.10041612237963515  | 0.04311028747559306  |  0.143440666955795  |  0.2076301699551225 |  -0.16033824720891676 |
| 0.0001 |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |  199   | 0.05837611251158435  | 0.19824265404604705 | 0.24161149085170672 |  -0.19252683221612063  | 0.041996136843371695 | 0.14863871832268666 | 0.20492958996536273 |   -0.130350240461099  |
| 0.0001 |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |  199   | 0.11881000121052336  | 0.31720752288366527 |  0.3446882667143217 |  -1.4270906074991307   | 0.05765637839565635  | 0.21355088802096328 |  0.2401174262640185 |  -0.5518546724121469  |
| 0.0001 |       sigmoid       |             sgd             |      [16, 10]     |   14   | 0.05458422604680757  | 0.17055049396580607 |  0.233632673328898  |  -0.1150649019948149   | 0.048715137986700734 | 0.15006728217225243 | 0.22071506062500748 |  -0.31119603078571756 |
| 0.0001 |       sigmoid       | mini_batch_gradient_descent |      [16, 10]     |  215   |  0.0477208144901685  | 0.15564253319808044 | 0.21845094298301507 |  0.025143174385915068  |  0.0536969141416449  | 0.15629661540624695 | 0.23172594619861825 |  -0.44528340876684913 |
| 0.0001 |       sigmoid       |    batch_gradient_descent   |      [16, 10]     |  399   | 0.34302301165473925  |  0.5370911644884118 |  0.5856816640929945 |   -6.007389287607728   |  0.4741224447609552  |  0.6601228710114163 |  0.6885654978002856 |  -11.761279006264964  |
| 0.0001 |       sigmoid       |             sgd             |      [16, 10]     |  399   | 0.05881389207546451  | 0.19002315430622996 | 0.24251575634474665 |  -0.20146994017692155  |  0.0332030954501374  | 0.13907821785695892 |  0.1822171656297436 |  0.10631953919734828  |
| 0.0001 |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |  199   | 0.06584439393691609  | 0.21060079605786455 |   0.25660162496936  |  -0.34509139342224704  | 0.038009078254702094 | 0.15120451824918657 | 0.19495917073762417 |  -0.02303625938604026 |
| 0.0001 |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |  199   | 0.42975250034016527  |  0.6151027480345497 |  0.655555108545548  |   -7.779128410887484   |  0.6216569931445695  |  0.7644804970367215 |  0.7884522770241515 |   -15.73225645268356  |
| 0.0001 |       sigmoid       |             sgd             |    [16, 10, 5]    |   38   | 0.05013910557160775  | 0.16106929394003408 | 0.22391763122096425 | -0.024258488017571574  | 0.04411983847591948  | 0.14220277346817348 | 0.21004722915553892 |  -0.1875108945462831  |
| 0.0001 |       sigmoid       | mini_batch_gradient_descent |    [16, 10, 5]    |  337   | 0.04933006899160212  | 0.15581596472692663 | 0.22210373475383552 | -0.007731217043341676  | 0.05206713879665415  | 0.15554923154548933 |  0.2281822490831707 |  -0.4014170655367903  |
| 0.0001 |       sigmoid       |    batch_gradient_descent   |    [16, 10, 5]    |  399   |  0.5197030170752878  |  0.688131851729778  |  0.7209043050747358 |   -9.616667776960416   | 0.34086038772536337  |  0.5522711531796062 |  0.5838324997166253 |   -8.174453894795302  |
| 0.0001 |       sigmoid       |             sgd             |    [16, 10, 5]    |  399   | 0.06534050584077968  |  0.2088248306268935 | 0.25561789029874193 |  -0.33479779816172495  | 0.036926614752285154 | 0.14796825895119775 | 0.19216299006906912 |  0.006098869990519784 |
| 0.001  |         tanh        | mini_batch_gradient_descent |        [8]        |   6    | 0.22647176143791264  |  0.4056342101260891 | 0.47589049311570897 |  -3.6264412040175618   | 0.11509836632751291  |  0.2509788158427771 | 0.33926150139311845 |   -2.097938901861588  |
| 0.001  |         tanh        |    batch_gradient_descent   |        [8]        |  199   |  0.3256579172628434  |  0.4795307241315222 |  0.570664452426155  |   -5.652649307240037   | 0.10930067134101622  |  0.2573146851876043 | 0.33060652041515487 |  -1.9418905980247791  |
| 0.001  |         tanh        |             sgd             |        [8]        |   20   | 0.07293615116015177  |  0.1636031417902633 | 0.27006693829521555 |  -0.4899641917709346   | 0.03209708339975719  | 0.13511972401870478 |  0.179156589049237  |   0.1360884913217496  |
| 0.001  |         tanh        | mini_batch_gradient_descent |        [8]        |   11   |  0.0952322319868296  | 0.21570271282973855 |  0.3085972002251958 |  -0.9454360191180596   | 0.04236749718954202  | 0.15290437672329765 |  0.2058336638879608 |  -0.14034561832542258 |
| 0.001  |         tanh        |    batch_gradient_descent   |        [8]        |  298   | 0.07782090591115187  |  0.2235295346162588 |  0.2789639867637969 |  -0.5897516023869949   | 0.044910987228004455 |  0.1597490971473749 | 0.21192212538572855 |  -0.20880511942927704 |
| 0.001  |         tanh        |             sgd             |        [8]        |  399   | 0.12827725528079656  |  0.2670600227933621 | 0.35815814283748537 |  -1.6204908532583473   | 0.005958228093668294 | 0.05890114599587018 | 0.07718955948616557 |   0.8396308550112983  |
| 0.001  |         tanh        | mini_batch_gradient_descent |      [16, 10]     |   13   | 0.18792983772742583  | 0.32372762256946075 |  0.4335087516157267 |  -2.8390938420146306   | 0.051600782783803464 | 0.18020087500121873 | 0.22715805683224943 |  -0.3888648245239492  |
| 0.001  |         tanh        |    batch_gradient_descent   |      [16, 10]     |   91   |  0.3452718629654752  |  0.5348156280205043 |  0.5875983857750762 |  -6.0533295774683245   | 0.33383283838493727  | 0.46974960426093526 |  0.5777826913164994 |   -7.985303351819667  |
| 0.001  |         tanh        |             sgd             |      [16, 10]     |  199   | 0.03499954053336363  | 0.14258015126795545 |  0.1870816413584284 |   0.2850176312616016   | 0.00853091945279407  | 0.06482417508204667 | 0.09236297663454804 |   0.7703853835226752  |
| 0.001  |         tanh        | mini_batch_gradient_descent |      [16, 10]     |   15   | 0.10235306719539844  |  0.2657732837503275 |  0.3199266590882955 |  -1.0909028323170795   |  0.0686126097598041  | 0.20143608163912652 |  0.2619400881113926 |  -0.8467479575540751  |
| 0.001  |         tanh        |    batch_gradient_descent   |      [16, 10]     |  399   | 0.06192378828545166  | 0.17665584462009626 |  0.2488449080962913 |  -0.2649999444244797   | 0.04029118368757902  | 0.14712937022650296 |  0.2007266392076025 |  -0.08446044310157519 |
| 0.001  |         tanh        |             sgd             |      [16, 10]     |   38   | 0.032696018468438524 | 0.12641596921417522 | 0.18082040390519685 |  0.33207475365014605   | 0.011065900399396218 |  0.0754788573125184 | 0.10519458350787944 |   0.7021549095330588  |
| 0.001  |         tanh        | mini_batch_gradient_descent |    [16, 10, 5]    |   8    | 0.08419128127183646  | 0.20351579583628351 |  0.2901573388212617 |  -0.7198877697687689   | 0.07262385430875634  |  0.2074905172382537 | 0.26948813389230397 |   -0.954712917697119  |
| 0.001  |         tanh        |    batch_gradient_descent   |    [16, 10, 5]    |  199   | 0.34777701979034426  |  0.5059265531160495 |  0.5897262244383781 |   -6.10450576245277    | 0.30978173699728584  |  0.4126032459784156 |  0.5565803958075471 |   -7.33795408876056   |
| 0.001  |         tanh        |             sgd             |    [16, 10, 5]    |   5    | 0.06674944084370701  | 0.21352330382587795 | 0.25835913152762185 |  -0.36357999559746434  | 0.02198975845229546  | 0.11509503276803082 | 0.14828944147273418 |   0.4081329707316465  |
| 0.001  |         tanh        | mini_batch_gradient_descent |    [16, 10, 5]    |  131   | 0.04941766175380076  | 0.17113103938968222 | 0.22230083615182547 | -0.009520591407883083  |  0.0314091003442302  | 0.12679455970389683 | 0.17722612771324153 |  0.15460595199077387  |
| 0.001  |         tanh        |    batch_gradient_descent   |    [16, 10, 5]    |  224   | 0.06255139353823967  | 0.20761207256038475 |  0.2501027659547964 |  -0.27782087531193755  | 0.05686724410025396  | 0.18530997123414225 |  0.2384685390156403 |  -0.5306146677924131  |
| 0.001  |         tanh        |             sgd             |    [16, 10, 5]    |   37   | 0.02965827420835096  | 0.11816332848080131 |  0.1722157780470505 |   0.3941308136326611   | 0.010850729299202689 | 0.07478005336363668 | 0.10416683396937187 |   0.7079463637744605  |
| 0.0001 |         tanh        | mini_batch_gradient_descent |        [8]        |  142   | 0.04792347309164476  |  0.1507685965103814 | 0.21891430536089865 |  0.021003196411330305  | 0.027192893060233845 | 0.11981301746763127 | 0.16490267754112983 |  0.26808760234050866  |
| 0.0001 |         tanh        |    batch_gradient_descent   |        [8]        |  199   |  0.4650327036882815  |  0.5829961090479797 |   0.68193306393537  |   -8.499844253867275   | 0.46470345089654413  |  0.6317056166704677 |  0.6816916098182111 |  -11.507761354885584  |
| 0.0001 |         tanh        |             sgd             |        [8]        |   6    |  0.2174284395911381  |  0.4195112869811471 |  0.4662922255315202 |  -3.4417011880991533   | 0.19876197710616297  |  0.2879076180407046 |  0.4458272951560536 |   -4.349793231087037  |
| 0.0001 |         tanh        | mini_batch_gradient_descent |        [8]        |  137   | 0.22243659867523333  |  0.403855645859598  |  0.4716318465447741 |  -3.5440095438774746   | 0.30094022712592794  |  0.4219525820672906 |  0.5485801920648684 |  -7.0999797520637795  |
| 0.0001 |         tanh        |    batch_gradient_descent   |        [8]        |  113   | 0.03295537127097763  | 0.13770757997291283 | 0.18153614315330607 |  0.32677660749529625   |  0.0774226655056645  | 0.23426677352826944 | 0.27824928662202264 |  -1.0838756883248817  |
| 0.0001 |         tanh        |             sgd             |        [8]        |   10   | 0.09315030394633332  |  0.2503066093695923 | 0.30520534717847475 |  -0.9029056938837056   | 0.05197394963720055  |  0.1701836213594655 |  0.2279779586653073 |  -0.39890882557201435 |
| 0.0001 |         tanh        | mini_batch_gradient_descent |      [16, 10]     |  199   | 0.09598028864922216  | 0.24785626159255453 | 0.30980685700807553 |  -0.9607175718549628   | 0.09115873142903862  |  0.2395396279921679 |  0.3019250427325276 |  -1.4535898236364972  |
| 0.0001 |         tanh        |    batch_gradient_descent   |      [16, 10]     |  199   |  0.9110216380282932  |  0.8794082101829782 |  0.9544745350339596 |  -17.610655991568972   |  0.5118333574410106  |  0.6914265407833029 |  0.7154252982953639 |  -12.776289967270438  |
| 0.0001 |         tanh        |             sgd             |      [16, 10]     |   10   | 0.14784562222965475  | 0.33036744134693397 |  0.3845069859308862 |   -2.020240025396756   |  0.0779891845371775  |  0.2304290627829419 |  0.2792654374196304 |   -1.099123874744618  |
| 0.0001 |         tanh        | mini_batch_gradient_descent |      [16, 10]     |  399   | 0.21193503323926569  |  0.3895102780164963 |  0.4603640225291999 |  -3.3294800381626217   | 0.08513106151247544  | 0.23342617010192948 |  0.2917722768058601 |  -1.2913516119405402  |
